16
946 1677
623 103 406
101 849 619
364 736 637
750 25 632
630 43 941
785 940 368
121 473 955
581 15 710
68 258 278
116 517 795
483 49 689
246 224 934
345 573 982
256 587 333
870 654 533
494 887 511
672 424 70
723 686 457
613 597 511
379 479 96
66 382 276
721 389 856
916 897 311
147 277 42
146 800 478
489 3 432
619 44 838
325 21 706
438 106 686
325 67 12
937 854 563
911 390 619
939 745 519
653 220 395
764 542 827
254 140 923
461 94 157
836 487 798
229 204 619
503 241 83
463 169 637
776 386 259
482 189 786
82 496 506
809 506 699
65 340 131
887 38 126
542 134 109
398 403 454
116 31 883
520 877 537
445 719 423
453 644 615
793 726 440
325 40 375
359 514 347
5 276 969
650 562 545
138 670 202
92 790 208
490 801 22
388 259 664
562 346 70
937 221 926
663 446 349
188 21 538
626 577 295
416 533 585
492 460 638
893 469 948
427 926 113
29 592 304
270 559 45
493 84 499
11 193 193
851 547 935
288 864 716
573 405 59
798 338 527
444 744 399
731 238 878
836 782 143
694 261 917
807 888 488
275 503 628
376 207 918
267 133 518
71 813 708
452 65 997
851 182 210
155 439 709
80 278 884
31 731 659
574 829 866
475 643 50
322 337 627
686 501 260
265 459 707
397 647 770
381 209 734
154 31 412
26 893 467
38 812 277
721 125 715
263 218 387
781 873 941
144 566 202
119 242 37
707 646 580
6 258 640
397 912 691
780 61 541
928 548 594
767 343 972
384 488 704
339 127 440
567 338 373
12 6 222
657 631 880
613 911 360
766 537 455
716 645 632
943 102 526
911 872 835
764 520 350
588 15 422
369 364 806
868 808 777
882 668 527
745 822 253
245 822 964
562 583 97
440 507 861
2 120 32
810 9 772
890 141 763
875 315 948
115 669 626
934 669 392
491 230 546
116 421 79
130 25 11
368 80 759
517 895 843
332 902 413
206 192 36
297 120 815
183 265 456
332 579 786
28 242 142
187 16 50
255 199 488
480 758 163
785 711 886
428 363 708
52 768 357
649 588 538
222 591 818
546 881 514
804 207 827
605 876 260
75 97 867
395 128 115
357 288 916
765 729 101
79 270 735
157 198 96
897 553 243
603 546 637
638 703 514
164 80 703
29 668 878
198 556 653
497 741 882
490 231 260
296 313 369
85 938 930
538 175 848
376 550 707
854 944 506
193 861 847
928 105 232
752 66 966
695 101 593
91 14 679
798 66 873
435 860 97
175 913 679
738 858 574
47 830 1000
924 310 673
758 290 325
299 943 741
591 19 502
912 635 851
319 771 268
464 148 712
289 914 711
640 230 288
496 745 244
273 154 64
263 374 260
396 652 517
542 15 520
354 336 913
801 333 820
244 842 517
665 859 524
825 906 706
669 108 237
693 473 944
19 641 559
492 365 398
86 661 822
249 452 573
6 767 694
686 33 935
671 8 783
365 43 985
804 606 625
656 637 395
667 451 573
632 273 891
622 792 680
50 863 705
271 73 479
15 719 67
881 163 905
143 288 967
583 791 681
468 828 472
297 25 802
66 762 269
649 1 32
233 792 931
504 543 514
555 592 153
510 363 849
544 309 860
186 372 162
114 909 230
814 860 3
7 599 411
924 297 526
96 280 151
872 696 8
552 410 452
458 386 550
427 678 83
685 681 85
889 62 747
868 899 375
482 489 69
252 679 571
91 297 858
817 372 636
328 719 688
915 339 730
653 755 983
672 895 116
667 627 615
123 518 834
475 611 874
37 437 425
128 880 697
445 77 651
896 784 216
830 408 110
904 796 305
561 800 619
836 204 188
41 669 180
476 882 55
4 666 490
655 695 996
762 494 408
483 544 217
419 182 472
471 538 955
551 940 121
9 727 931
16 537 590
31 797 354
26 512 728
887 470 579
593 29 866
708 3 547
264 818 169
218 66 593
137 899 120
181 529 603
880 286 345
675 321 846
595 11 241
629 539 624
319 44 936
601 730 966
480 671 524
517 377 987
672 447 414
897 594 598
677 813 837
104 319 280
160 514 1
422 571 347
658 780 99
446 302 277
120 844 791
800 837 753
339 616 598
869 178 702
940 698 915
713 496 579
697 265 214
661 301 679
776 858 390
652 43 155
915 863 644
405 41 649
631 5 892
529 550 252
511 418 993
342 904 18
772 513 606
265 206 936
615 273 448
879 914 330
680 911 60
891 286 871
483 3 579
778 607 872
477 541 457
193 127 903
345 227 554
135 462 273
622 888 323
352 205 917
163 944 799
98 438 754
555 300 278
254 588 49
787 717 296
880 288 741
837 345 904
703 155 465
342 555 778
940 335 786
710 637 690
44 8 255
500 195 183
49 853 768
753 727 517
525 597 629
42 553 515
286 931 736
447 771 562
219 489 650
845 913 737
498 179 285
788 331 963
485 199 463
632 378 654
506 171 909
201 57 299
781 305 376
212 936 559
817 268 927
755 374 998
644 939 284
885 695 227
854 457 262
836 66 244
895 808 537
273 842 561
190 39 731
218 383 517
653 102 456
325 733 5
416 614 594
554 293 41
795 766 275
417 149 854
642 599 163
167 801 667
84 607 521
757 301 35
877 158 344
691 686 474
250 253 256
882 553 990
34 595 586
593 792 587
835 228 820
883 677 877
605 530 128
459 680 401
508 909 893
256 280 740
610 494 888
428 407 532
61 762 344
668 719 29
580 876 296
396 462 45
403 227 686
796 938 131
229 879 831
641 446 395
618 836 917
838 502 257
95 236 542
440 629 22
711 486 797
692 429 658
178 786 733
581 292 367
560 216 945
37 884 163
487 769 340
455 145 187
171 60 739
364 626 389
107 546 286
756 278 758
836 486 991
398 203 606
659 714 687
337 892 574
258 532 196
46 484 949
826 118 337
123 704 132
885 266 1000
829 903 104
770 788 228
70 924 18
116 786 388
114 77 859
336 386 118
455 713 398
789 369 946
298 404 852
60 625 304
802 214 52
709 7 231
461 943 464
235 718 133
307 781 155
740 143 29
281 62 397
499 16 98
906 910 958
520 360 132
184 149 223
198 359 578
79 850 698
360 401 291
917 885 279
838 510 51
171 818 244
520 362 294
797 42 781
138 754 436
297 564 794
608 187 752
35 730 939
264 924 465
543 602 839
346 852 290
765 1 491
314 74 903
301 416 253
749 199 845
664 694 356
911 152 814
804 499 392
70 933 578
143 846 224
872 901 309
225 925 18
863 423 100
567 93 2
933 62 236
603 854 955
110 775 760
935 229 489
185 670 816
934 184 887
576 160 387
368 402 370
812 497 197
804 280 13
197 473 577
487 237 194
16 137 665
933 29 236
551 499 300
427 445 321
548 419 967
636 161 118
861 156 169
225 134 262
575 299 72
383 514 280
426 810 200
932 725 53
331 501 771
662 128 141
895 219 259
535 638 964
739 696 88
472 671 309
891 908 711
631 775 844
