863 2514
781 57 485
668 855 63
180 358 960
455 227 158
269 29 359
859 284 969
83 334 570
244 700 430
802 234 317
530 462 35
342 648 361
593 674 821
690 30 516
27 646 921
752 222 128
728 338 717
248 43 204
458 417 674
230 595 323
168 511 815
206 752 139
490 28 737
355 648 213
375 122 831
36 846 374
116 588 841
616 57 681
379 294 246
496 835 359
190 379 515
188 593 645
24 15 553
716 428 71
840 327 489
129 772 181
170 335 242
684 78 937
206 448 558
7 136 745
748 282 527
846 446 814
131 601 523
290 723 266
208 377 471
201 230 561
172 772 811
60 84 349
369 805 795
486 612 324
176 833 223
490 702 682
787 687 796
109 171 325
725 3 760
853 715 121
686 855 596
668 385 511
72 570 776
374 835 700
858 421 457
60 27 788
217 833 166
310 96 136
21 643 593
536 372 147
1 245 641
793 50 787
660 787 308
616 216 619
290 388 673
309 831 126
727 551 382
782 212 251
374 272 335
414 352 414
386 184 929
617 247 872
164 432 897
205 342 504
371 278 762
562 313 875
351 76 516
848 73 772
236 127 658
469 684 468
328 610 453
314 809 834
19 751 860
16 839 538
602 217 357
681 534 787
615 252 618
80 557 214
778 539 679
175 351 757
650 292 327
735 521 278
131 314 590
231 730 948
787 321 767
557 843 505
175 592 821
310 473 308
833 822 290
456 595 138
756 351 209
212 670 849
695 151 260
521 416 639
723 814 414
97 405 410
605 619 942
807 507 449
323 106 552
135 26 881
739 324 858
729 175 967
90 817 42
47 687 936
818 1 675
400 134 104
281 689 349
413 726 419
227 747 27
172 771 777
543 766 843
666 489 1000
681 63 416
21 289 821
603 38 400
322 654 928
763 728 581
294 62 682
136 386 81
590 767 729
594 797 648
804 367 252
180 88 934
354 179 904
389 52 658
4 98 562
669 427 335
131 617 959
686 241 269
601 23 958
66 642 720
763 219 134
744 1 236
411 849 239
547 387 86
161 428 248
557 188 707
73 314 37
471 101 636
799 671 926
617 588 432
664 497 661
552 339 429
757 463 257
714 716 141
615 209 512
56 122 378
703 200 205
586 725 894
15 758 329
112 213 478
329 793 790
735 651 376
833 583 88
159 76 946
11 516 995
308 469 626
210 609 295
340 627 710
492 422 734
425 110 2
478 679 449
240 247 15
513 669 548
2 581 117
405 336 987
708 432 963
714 690 980
614 357 112
418 174 688
570 602 381
348 384 502
261 427 912
620 472 503
5 153 942
364 792 985
276 106 99
755 211 807
685 472 267
790 37 842
636 609 126
285 767 614
201 399 763
59 240 676
483 393 804
544 289 846
31 337 200
667 709 59
5 99 148
712 612 653
565 668 715
807 493 450
494 29 421
106 729 513
692 72 14
692 568 903
441 676 469
200 449 804
401 56 297
657 364 180
598 264 379
70 407 576
176 139 456
770 324 449
853 89 971
147 605 681
299 621 586
523 427 358
142 119 826
479 79 901
620 466 478
511 81 297
625 547 22
862 202 504
652 710 187
634 477 752
105 581 421
319 557 847
666 664 153
113 75 788
837 257 188
487 104 660
119 532 943
845 788 399
766 10 598
103 458 217
550 107 900
644 279 393
245 586 373
519 55 430
812 633 433
712 692 316
711 790 184
767 600 659
177 228 144
776 90 373
432 122 82
46 121 661
92 354 38
356 858 522
6 471 697
700 361 485
341 749 161
809 406 95
58 94 791
134 66 235
27 764 871
682 108 600
115 662 686
378 668 864
395 126 344
93 850 73
821 808 482
70 589 896
191 624 255
770 343 305
758 847 10
130 607 661
601 36 666
313 123 312
41 471 23
614 60 848
728 532 773
506 784 888
569 168 10
210 453 244
228 436 442
219 554 753
419 314 364
564 108 979
30 422 997
116 243 436
113 651 154
357 717 810
395 373 897
661 405 752
854 587 687
650 579 729
264 553 383
236 295 196
622 321 846
598 280 882
240 664 421
31 473 954
620 542 780
293 95 419
835 852 278
778 577 769
714 48 297
627 298 684
846 742 428
41 440 12
379 708 875
739 175 35
162 738 877
139 7 300
762 791 129
287 484 303
293 136 908
851 390 739
674 571 743
186 355 658
198 756 834
282 684 244
176 823 23
80 493 764
676 240 764
96 160 508
263 701 575
579 429 71
807 172 259
767 204 485
374 348 631
282 819 174
174 544 646
602 391 478
223 189 324
191 677 853
175 588 217
843 233 455
807 794 109
80 642 765
26 225 616
502 717 451
271 259 470
124 690 187
14 812 413
740 655 573
814 36 627
558 856 954
508 20 589
616 389 220
638 278 949
637 285 380
798 41 40
343 809 170
639 71 104
821 373 55
329 469 920
272 468 467
381 52 813
541 61 18
262 280 539
645 686 295
832 420 655
445 456 132
828 839 74
739 69 448
559 674 855
792 682 173
836 675 152
213 792 575
750 291 203
381 818 158
346 665 331
67 108 20
475 294 613
675 129 921
482 466 22
331 351 886
716 151 421
238 402 223
796 322 920
105 770 486
501 356 335
73 680 339
766 448 272
86 377 390
696 469 502
856 326 368
483 826 59
100 3 94
780 586 209
176 514 546
629 747 107
589 58 110
249 410 133
616 303 21
624 72 85
440 798 332
30 788 474
322 285 73
308 267 348
474 475 307
2 835 546
258 632 863
843 104 977
398 857 654
435 389 68
637 500 271
314 337 588
140 407 558
17 420 425
85 789 34
758 272 886
264 799 680
769 279 956
199 41 568
625 438 277
462 103 995
578 564 506
821 487 246
667 210 365
767 422 718
763 652 750
164 171 771
276 572 483
31 545 536
74 418 166
28 428 563
161 276 400
531 816 184
71 452 597
4 212 520
513 502 57
679 664 215
334 317 660
832 775 214
313 553 506
633 143 608
232 699 968
348 405 776
254 64 395
231 280 108
568 152 434
51 253 721
710 411 550
458 474 44
310 284 484
502 393 554
280 412 563
321 442 715
523 94 980
852 306 284
29 742 301
786 817 452
464 379 250
46 490 298
431 461 947
271 558 648
337 212 173
22 567 902
194 523 917
136 852 167
574 296 354
508 837 58
742 685 607
179 677 463
794 267 867
298 413 684
728 375 971
272 412 26
468 654 297
103 677 632
710 770 308
445 260 862
684 547 448
402 305 692
43 313 795
804 387 45
763 594 660
711 732 429
706 160 455
29 63 594
832 311 693
406 828 352
336 81 260
450 91 538
156 269 728
605 487 712
289 566 538
65 770 181
669 173 437
707 48 845
37 115 747
265 38 77
178 304 714
21 740 567
286 804 75
768 843 266
678 548 715
345 207 902
662 857 22
19 305 920
143 322 533
829 490 491
423 310 966
614 636 151
580 176 205
183 652 25
218 747 397
675 728 625
98 827 132
424 161 567
121 22 138
283 23 167
351 330 591
428 810 413
376 298 761
640 252 122
762 647 975
751 400 530
447 507 294
18 666 441
853 275 973
850 474 758
101 361 563
554 850 74
546 647 575
390 777 60
319 832 391
722 276 963
55 471 297
764 702 171
603 103 924
200 287 465
359 387 235
376 77 830
658 164 659
489 840 603
523 287 337
428 339 773
581 638 106
815 64 204
682 695 258
719 66 122
777 385 969
698 409 266
521 756 685
198 623 906
631 51 232
241 629 869
555 123 826
179 460 680
542 450 152
532 684 841
862 483 277
338 441 935
556 28 194
527 654 577
192 838 29
748 747 634
230 752 191
142 303 339
860 372 235
243 551 502
